Abbrev,Lat,Long,Name,Ratio,MenPay,WomenPay
AL,32.6010112,-86.6807365,Alabama,94.3,49210,35854
AK,61.3025006,-158.7750198,Alaska,108.5,61226,49020
AZ,34.1682185,-111.930907,Arizona,98.7,47854,40311
AR,34.7519275,-92.1313784,Arkansas,96.5,42364,36042
CA,37.2718745,-119.2704153,California,98.8,55646,49009
CO,38.9979339,-105.550567,Colorado,100.5,56377,46498
CT,41.5187835,-72.757507,Connecticut,94.8,65948,55155
DE,39.145251,-75.4189206,Delaware,93.9,51923,43803
DC,38.8993487,-77.0145666,District of Columbia,89.5,81267,70911
FL,28.038349,-81.662195,Florida,95.6,44520,37821
GA,32.6781248,-83.2229757,Georgia,95.4,50133,40254
HI,20.46,-157.505,Hawaii,100.3,51413,42584
ID,45.4945756,-114.1424303,Idaho,100.4,47182,36846
IL,39.739318,-89.504139,Illinois,96.2,56838,45910
IN,39.7662195,-86.441277,Indiana,96.8,50774,38031
IA,41.9383166,-93.389798,Iowa,98.1,51488,40353
KS,38.4987789,-98.3200779,Kansas,98.4,50872,40045
KY,37.8222935,-85.7682399,Kentucky,96.8,47370,37379
LA,30.9733766,-91.4299097,Louisiana,95.9,51453,35758
ME,45.2185133,-69.0148656,Maine,95.8,48522,40421
MD,38.8063524,-77.2684162,Maryland,93.6,62167,53421
MA,42.0629398,-71.718067,Massachusetts,93.7,67147,55942
MI,43.036274,-84.638672,Michigan,96.3,52332,41205
MN,46.4418595,-93.3655146,Minnesota,98.5,56809,46861
MS,32.5851062,-89.8772196,Mississippi,94.4,44495,33530
MO,38.3046615,-92.437099,Missouri,96.0,49109,38414
MT,46.6797995,-110.044783,Montana,100.8,48037,36741
NE,41.5008195,-99.680902,Nebraska,98.5,50286,40156
NV,38.502032,-117.0230604,Nevada,102.0,46556,40004
NH,44.0012306,-71.5799231,New Hampshire,97.3,61046,45346
NJ,40.1430058,-74.7311156,New Jersey,94.8,66532,52383
NM,34.1662325,-106.0260685,New Mexico,97.7,42673,35683
NY,40.7056258,-73.97968,New York,93.8,58064,50921
NC,35.2145629,-79.8912675,North Carolina,95.0,46941,39126
ND,47.4678819,-100.3022655,North Dakota,102.1,55608,40582
OH,40.1903624,-82.6692525,Ohio,95.4,51681,40913
OK,35.3097654,-98.7165585,Oklahoma,98.0,47031,45556
OR,44.1419049,-120.5380993,Oregon,98.0,51627,43586
PA,40.9945928,-77.6046984,Pennsylvania,95.1,53269,43243
RI,41.5827282,-71.5064508,Rhode Island,93.4,57416,47356
SC,33.62505,-80.9470381,South Carolina,94.7,46080,36720
SD,44.2126995,-100.2471641,South Dakota,100.1,46784,36467
TN,35.830521,-85.9785989,Tennessee,95.1,46357,37210
TX,31.1693363,-100.0768425,Texas,98.4,50394,40499
UT,39.4997605,-111.547028,Utah,100.9,53409,39342
VT,43.8717545,-72.4477828,Vermont,97.1,50828,43376
VA,38.0033855,-79.4587861,Virginia,96.3,59305,47002
WA,47.4,-121.49,Washington,99.3,61666,48706
WV,38.9201705,-80.1816905,West Virginia,97.3,46346,32778
WI,44.7862968,-89.8267049,Wisconsin,98.5,51766,41263
WY,43.000325,-107.5545669,Wyoming,104.1,54834,38434
